shipment_wk,shipment_dt,region,fc,sub_hub,shippingtype,isfresh,actual_packgroup,actual_boxname,sku_band,cate2,cate3,cate4,cate5,skuseq,skuname,ordernumber,invoicenumber,units
29,2023-07-17,South,YAS1,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,A,생활용품,세제류,세탁세제류,액체 섬유유연제,13125850,다우니 엑스퍼트 실내건조 프레시 클린 플러스 초고농축 섬유유연제 본품 1.05L 3개,19100002246817,10249158098594,1
29,2023-07-16,South,SAN2,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,식품,생수/음료,음료,차음료,12245503,곰곰 고소한 보리차 1.5L*12pcs,6100002154635,10249129066186,1
29,2023-07-21,South,MAJ1,GWJ2 Sub-hub,STANDARD,CORE,TPB,TPB 1호,C,식품,신선식품,쌀/잡곡류,잡곡류,16136440,대구상회 찹쌀 10kg,11100002930095,10249402567865,1
29,2023-07-18,South,DAEGU,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,식품,생수/음료,음료,차음료,448113,Box_광동 헛개차180ml 30개 [단품 1],21100002463083,10249235830116,1
29,2023-07-16,South,ANS4,GWJ2 Sub-hub,STANDARD,CORE,PLASTIC,PB4호,D,가구/홈인테리어,커튼/침장류,커튼/블라인드,커튼,26185219,뷰하우스 클라우드 쉬폰 아일렛커튼 2p 세트 대형,31100002164170,10249125099990,1
29,2023-07-19,South,DAE6,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),A,뷰티,바디케어,바디워시/스크럽/입욕용품,바디워시/클렌저,26275366,도브 뷰티 너리싱 바디워시 800ml,24100002695096,10249319161863,3
29,2023-07-20,South,ANS4,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,식품,생수/음료,음료,탄산음료,4224963,Box_나랑드 사이다 1500ml 12입,13100002722040,10249331824642,1
29,2023-07-18,South,YEO1,GMH1 Sub-hub,STANDARD,CORE,SIOC,CSTMs,E,가전디지털,생활가전,주방가전,가스레인지,11430917,[박스훼손 할인] 린나이 3구 가스레인지 RTR-N3000 LPG(프로판통가스용),15100002409057,10249215718571,1
29,2023-07-21,South,DON1,GMH1 Sub-hub,STANDARD,CORE,PLASTIC,RPB2.5(50),D,패션의류,캐주얼의류,하의류,캐주얼바지,14743078,"캐럿 남녀공용 이지웨어 우븐 쇼츠 반바지, 블랙, M",10100002944414,10249407554551,1
29,2023-07-16,South,SIH2,GMH1 Sub-hub,STANDARD,CORE,PAPER,B8호,D,생활용품,공구/철물/DIY,건축/도장재료,페인트도구,15788051,"OON Finder 페인트 롤러 핸들 1p, 롤러 리필 5p, 소형 페인트붓 1p, 트레이 1p, 1세트",16100002258391,10249162171441,1
29,2023-07-16,South,SAN2,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,식품,건강식품,영양식,환자영양식,33247722,대상웰라이프 뉴케어 당플랜 미니 150ml 30팩,3100002260183,10249158999100,1
29,2023-07-17,South,ANS8,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,C,식품,생수/음료,음료,차음료,2348995,BOX_웅진 헛개차 500ml x 20페트,8100001818589,10249189849721,1
29,2023-07-17,South,YAS1,GMH1 Sub-hub,OVERNIGHT,CORE,TPB,TPB 2호,A,생활용품,세제류,세탁세제류,일반세탁세제,12107184,다우니 프리미엄 액체형 세제 냄새딥클린 실내건조 3L,15100002382066,10249206296991,3
29,2023-07-18,South,DAE8,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,식품,생수/음료,음료,차음료,3277965,Box_동원 옥수수수염차 1.5L * 12,30100002401787,10249210300000,1
29,2023-07-22,South,MAJ1,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOC,C,식품,생수/음료,음료,탄산음료,28859880,Box_분다버그 핑크3개+망고3개+진저3개+레몬라임3개 / 12개입,17100002988417,10249436516465,1
29,2023-07-16,South,BUC1,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,A,식품,생수/음료,음료,커피음료,3992522,Box_레쓰비 160ml (150ml+10ml) 30캔,3100002217106,10249144096962,1
29,2023-07-20,South,CHW1,GMH1 Sub-hub,OVERNIGHT,CORE,PAPER,B14호,A,생활용품,방향/탈취/살충제,살충/방충제,모기/파리살충제,11598996,Pack_홈키파 무향에어졸 4입_모기약,18100002797392,10249356852814,1
29,2023-07-18,South,YON1,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOC,B,식품,생수/음료,음료,숙취/비타민/에너지음료,24339262,"해태htb 영진 구론산 오리지날, 150ml, 20병, 선물세트",18100002441347,10249230304600,2
29,2023-07-19,South,MCN1,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,생활용품,세제류,세탁세제류,액체 섬유유연제,609446,"Box_아토세이프 로하스 인증 섬유유연제(옐로우 , 후리지아) 2.5L 4개 옐로우",6100002580018,10249282826241,1
29,2023-07-19,South,CHW4,GWJ2 Sub-hub,STANDARD,CORE,SIOC,SIOCs,C,생활용품,세제류,세탁세제류,일반세탁세제,5871756,Box_답이답이다 베이킹소다 일반드럼겸용 액체세제 3L 용기 X 4개,14100002672516,10249308795751,1
29,2023-07-21,South,SEL1,GWJ2 Sub-hub,STANDARD,CORE,PAPER,B6호,A,식품,장/오일/소스,소스/드레싱/식초,식초/음용식초,9539054,Organic Bragg 애플 사이다 식초 946ml,1100002806418,10249361611624,1
29,2023-07-17,South,MCN1,GMH1 Sub-hub,STANDARD,CORE,SIOC,CSTMs,C,반려/애완용품,강아지용품,실내/놀이용품,매트,11878519,강아지대리석 애견대리석 쿨 매트 화이트그레이,15100002292099,10249174144963,1
29,2023-07-21,South,SAN2,GMH1 Sub-hub,STANDARD,CORE,SIOC,SIOCs,B,생활용품,방향/탈취/살충제,살균제,살균제,14906146,탐사 살균 소독 스프레이 리필 4L,3100002806079,10249398336026,1
29,2023-07-18,South,ECH5,GWJ2 Sub-hub,STANDARD,CORE,PLASTIC,RPB 3.5,C,식품,스낵/간식,초콜릿/사탕/젤리/껌,젤리/푸딩,33258820,Box_오리온_마이구미_66g,25100002433932,10249225474272,24
